actor_name	formatted_bday	actor_gender	ethnicity	age_is_est	birthday_data_source_link	bday_data_source	is_actor	photo_url	ethnic_cat
Paul Leroy Robeson	1898-04-09T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Paul_Robeson_1942_crop.jpg/220px-Paul_Robeson_1942_crop.jpg	English,Igbo,Native American
Paul Robeson	1898-04-09T00:00:00	male	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Paul_Robeson_1942_crop.jpg/220px-Paul_Robeson_1942_crop.jpg	English,Igbo,Native American
Wendy Williams	1964-07-18T00:00:00	female	Black	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/1/17/Wendy_Williams.png/220px-Wendy_Williams.png	none
José Ferrer	1912-01-08T00:00:00	male	Latino	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/8/81/Jose_Ferrer_-_1952.jpg/220px-Jose_Ferrer_-_1952.jpg	none
Raul Julia	1940-03-09T00:00:00	male	Latino	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Raul_Julia_-_Dracula.jpg/220px-Raul_Julia_-_Dracula.jpg	none
Martin Sheen	1940-08-03T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/2/25/Sheen%2C_Martin_%282008%29.jpg/220px-Sheen%2C_Martin_%282008%29.jpg	Galician,Irish,Spanish
Oscar Isaac	1979-03-09T00:00:00	male	Latino	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Oscar_Isaac_by_Gage_Skidmore.jpg/220px-Oscar_Isaac_by_Gage_Skidmore.jpg	Cuban,French,Guatemalan,Cuban,French
Mary Hall	1876-01-01T00:00:00	female	none	TRUE	https://www.imdb.com/name/nm0355883/	IMDb	TRUE		none
Frank Cellier	1884-02-23T00:00:00	male	none	FALSE	https://en.wikipedia.org/wiki/Frank_Cellier_(actor)	Wikipedia	TRUE		
Ian Maclaren	1875-05-01T00:00:00	male	none	FALSE	https://en.wikipedia.org/wiki/Ian_Maclaren_(actor)	Wikipedia	TRUE		none
Anna Burden	1910-05-13T00:00:00	female	none	FALSE	https://www.imdb.com/name/nm0120916/bio?ref_=nm_ov_bio_sm	IMDb	TRUE		none
Margaret Hughes	1719-10-01T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Lely_margret_hughes.jpg/220px-Lely_margret_hughes.jpg	none
William Charles Macready	1793-03-03T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/3e/William_Charles_Macready_by_John_Jackson.jpg/250px-William_Charles_Macready_by_John_Jackson.jpg	none
Thomas Hamblin	1800-05-14T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Thomas_hamblin.PNG/200px-Thomas_hamblin.PNG	none
Edwin Forrest	1806-03-09T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Edwin_Forrest.jpg/220px-Edwin_Forrest.jpg	German,Scottish
William Creswick	1813-12-27T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/5/55/William_Creswick.jpg/220px-William_Creswick.jpg	none
Hermann Vezin	1829-03-02T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/9/9e/Hermann-vezin-1907.jpg/220px-Hermann-vezin-1907.jpg	French
Edwin Booth	1833-11-13T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/02/Edwin_booth-staudenbaur.PNG/220px-Edwin_booth-staudenbaur.PNG	English
Henry Irving	1838-02-06T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/1/11/Henry_Irving_portrait.jpg/220px-Henry_Irving_portrait.jpg	Cornish
John Wilkes Booth	1838-05-10T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/3/3b/John_Wilkes_Booth-portrait.jpg/220px-John_Wilkes_Booth-portrait.jpg	English
Louis Bouwmeester	1842-09-05T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Louis_Bouwmeester.jpg/220px-Louis_Bouwmeester.jpg	none
Sarah Bernhardt	1844-10-23T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Sarah_Bernhardt_by_Sarony_cph.3a38656.jpg/220px-Sarah_Bernhardt_by_Sarony_cph.3a38656.jpg	Dutch-Jewish
Ellen Terry	1847-02-27T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ellen_Terry_as_Lady_Macbeth.jpg/320px-Ellen_Terry_as_Lady_Macbeth.jpg	Scottish
Kyrle Bellew	1850-03-28T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Harvard_Theatre_Collection_-_Kyrle_Bellew_TCS_1.2239_-_crop.jpg/220px-Harvard_Theatre_Collection_-_Kyrle_Bellew_TCS_1.2239_-_crop.jpg	none
Sir Herbert Beerbohm Tree	1852-12-17T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Herbert Beerbohm Tree	1852-12-17T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Johnston Forbes-Robertson	1853-01-16T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Johnston_Forbes-Robertson_cph.3b31602.jpg/220px-Johnston_Forbes-Robertson_cph.3b31602.jpg	Scottish
J Forbes-Robertson	1853-01-16T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Johnston_Forbes-Robertson_cph.3b31602.jpg/220px-Johnston_Forbes-Robertson_cph.3b31602.jpg	Scottish
Marion Terry	1853-10-13T00:00:00	female	none	FALSE		Wikipedia	TRUE		none
Robert B. Mantell	1854-02-07T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/7/75/RBMantel01.jpg/275px-RBMantel01.jpg	none
Jacob P. Adler	1855-02-12T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Jacob_Adler.jpg/220px-Jacob_Adler.jpg	Ukrainian-Jewish
Nat C. Goodwin	1857-07-25T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Ben Greet	1857-09-24T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Ben_Greet_as_Boomblehardt.jpg/200px-Ben_Greet_as_Boomblehardt.jpg	none
E. H. Sothern	1859-12-06T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Lewis Waller	1860-11-03T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
Arthur Bourchier	1863-06-22T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/3/39/Arthur_bourchier_by_spy.jpg	none
Constance Benson	1864-02-26T00:00:00	female	none	FALSE		Wikipedia	TRUE		none
Julia Marlowe	1865-08-17T00:00:00	female	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Julia_Marlowe_photograph_%28cropped%29.jpg/220px-Julia_Marlowe_photograph_%28cropped%29.jpg	none
Jerrold Robertshaw	1866-03-28T00:00:00	male	none	FALSE		Wikipedia	TRUE		none
David Warfield	1866-11-28T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/en/thumb/6/66/DavidWarfield.png/220px-DavidWarfield.png	none
Sayre Crawley	1867-03-08T00:00:00	male	none	FALSE		Wikipedia	TRUE	upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Sayre_Crawley.jpg/220px-Sayre_Crawley.jpg	none
Violet Vanbrugh	1867-06-11T00:00:00	female	none	FALSE		Wikipedia	TRUE		none
