<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Sep 22, 1913</td>
<a href="/broadway-cast-staff/walter-hampden-15020">Walter Hampden</a>	Othello	<td class="dates">Jan 10, 1925</td>
<a href="/broadway-cast-staff/baliol-holloway-45437">Baliol Holloway</a>	Iago	<td class="dates">Jan 10, 1925</td>
<a href="/broadway-cast-staff/mabel-moore-68351">Mabel Moore</a>	Desdemona	<td class="dates">Jan 10, 1925</td>
<a href="/broadway-cast-staff/jeannette-sherwin-68740">Jeannette Sherwin</a>	Desdemona	<td class="dates">Jan 10, 1925</td>
<a href="/broadway-cast-staff/william-faversham-14744">William Faversham</a>	Iago	<td class="dates">Feb 09, 1914</td>
<a href="/broadway-cast-staff/cecilia-loftus-68121">Cecilia Loftus</a>	Desdemona	<td class="dates">Feb 09, 1914</td>
<a href="/broadway-cast-staff/rd-maclean-56826">R.D. MacLean</a>	Othello	<td class="dates">Feb 09, 1914</td>
<a href="/broadway-cast-staff/lionel-barrymore-31143">Lionel Barrymore</a>	Macbeth	<td class="dates">Feb 17, 1921</td>
<a href="/broadway-cast-staff/julia-arthur-14065">Julia Arthur</a>	Lady Macbeth	<td class="dates">Feb 17, 1921</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	King Lear of Britain	<td class="dates">Apr 16, 1917</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	King Lear of Britain	<td class="dates">Feb 01, 1915</td>
<a href="/broadway-cast-staff/john-e-kellerd-22641">John E. Kellerd</a>	Hamlet	<td class="dates">Feb 04, 1913</td>
<a href="/broadway-cast-staff/isobel-merson-52870">Isobel Merson</a>	Ophelia	<td class="dates">Feb 04, 1913</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Dec 05, 1910</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Dec 05, 1910</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Hamlet	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Ophelia	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">May 18, 1908</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Ophelia	<td class="dates">Jun 10, 1907</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Jun 10, 1907</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	King Lear of Britain	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Jan 27, 1908</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Jun 10, 1907</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Jun 10, 1907</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Nov 20, 1911</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Nov 20, 1911</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Feb 07, 1910</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Feb 07, 1910</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Macbeth	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Lady Macbeth	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	King Lear of Britain	<td class="dates">Apr 29, 1907</td>
<a href="/broadway-cast-staff/sayre-crawley-36678">Sayre Crawley</a>	Macbeth	<td class="dates">Jan 17, 1910</td>
<a href="/broadway-cast-staff/keith-wakeman-63735">Keith Wakeman</a>	Lady Macbeth	<td class="dates">Jan 17, 1910</td>
<a href="/broadway-cast-staff/viola-knott-48349">Viola Knott</a>	Ophelia	<td class="dates">Apr 23, 1912</td>
<a href="/broadway-cast-staff/ian-maclaren-11084">Ian Maclaren</a>	Hamlet	<td class="dates">Apr 23, 1912</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Othello	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Desdemona	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Macbeth	<td class="dates">Apr 29, 1907</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Lady Macbeth	<td class="dates">Apr 29, 1907</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Mar 29, 1909</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Juliet	<td class="dates">Jan 21, 1907</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Romeo	<td class="dates">Jan 21, 1907</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Romeo	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Juliet	<td class="dates">Mar 08, 1909</td>
<a href="/broadway-cast-staff/julia-marlowe-22755">Julia Marlowe</a>	Ophelia	<td class="dates">Jan 21, 1907</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Othello	<td class="dates">Apr 29, 1907</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Jan 21, 1907</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Desdemona	<td class="dates">Apr 29, 1907</td>
<a href="/broadway-cast-staff/johnston-forbes-robertson-14794">Johnston Forbes-Robertson</a>	Hamlet	<td class="dates">Mar 13, 1905</td>
<a href="/broadway-cast-staff/kate-rorke-58322">Kate Rorke</a>	Ophelia	<td class="dates">Mar 13, 1905</td>
<a href="/broadway-cast-staff/gertrude-elliott-39445">Gertrude Elliott</a>	Ophelia	<td class="dates">Mar 08, 1904</td>
<a href="/broadway-cast-staff/johnston-forbes-robertson-14794">Johnston Forbes-Robertson</a>	Hamlet	<td class="dates">Mar 08, 1904</td>
<a href="/broadway-cast-staff/cecilia-loftus-68121">Cecilia Loftus</a>	Ophelia	<td class="dates">Dec 30, 1902</td>
<a href="/broadway-cast-staff/e-h-sothern-28103">E. H. Sothern</a>	Hamlet	<td class="dates">Dec 30, 1902</td>
<a href="/broadway-cast-staff/robert-b-mantell-68220">Robert B. Mantell</a>	Hamlet	<td class="dates">Oct 23, 1905</td>
<a href="/broadway-cast-staff/marie-booth-russell-58687">Marie Booth Russell</a>	Ophelia	<td class="dates">Oct 23, 1905</td>
<a href="/broadway-cast-staff/maude-adams-29363">Maude Adams</a>	Juliet	<td class="dates">May 08, 1899</td>
<a href="/broadway-cast-staff/william-faversham-14744">William Faversham</a>	Romeo	<td class="dates">May 08, 1899</td>
<a href="/broadway-cast-staff/edwin-booth-32508">Edwin Booth</a>	Hamlet	<td class="dates">Nov 1864</td>
