actor	bday
Gareth Armstrong	1948-06-25T00:00:00
Gareth Fordred	person not found on wiki
Gareth Potter	person not found on wiki
Gary Oliver	1995-07-14T00:00:00
Gary Sloan	1952-07-06T00:00:00
Gawn Grainger	1937-10-12T00:00:00
Gayle Rankin	no birthday on article
Gemma Jones	1942-12-04T00:00:00
Gene Farber	1978-11-14T00:00:00
Genevieve Hamper	1888-09-08T00:00:00
Geoffrey Keen	1916-08-21T00:00:00
Geoffrey Kerr	1895-01-26T00:00:00
Geoffrey Morgan	person not found on wiki
Geoffrey Wardwell	person not found on wiki
George Arliss	1868-04-10T00:00:00
George C. Scott	1927-10-18T00:00:00
George Coulouris	1903-10-01T00:00:00
George Emlyn Williams	1905-11-26T00:00:00
George Hayes	1888-11-13T00:00:00
George Relph	1888-01-27T00:00:00
George Skillan	1893-10-03T00:00:00
Georgia Slowe	no birthday on article
Georgina Rich	1976-01-01T00:00:00
Georgine Anderson	1928-02-01T00:00:00
Geraint Wyn Davies	1957-04-20T00:00:00
Geraint Wyn Davis	1957-04-20T00:00:00
Gerald Lawrence	1873-03-23T00:00:00
Geraldine Alexander	person not found on wiki
Geraldine James	1950-07-06T00:00:00
Geraldine Mcewan	1932-05-09T00:00:00
Geraldine Somerville	1967-05-19T00:00:00
Gerrard Mcarthur	person not found on wiki
Gertrude Elliott	1874-12-14T00:00:00
Gilda Varesi	1887-09-28T00:00:00
Gina Bellman	1966-07-10T00:00:00
Ginger Grace	person not found on wiki
Gintara Kizys	person not found on wiki
Gladys Cooper	1888-12-18T00:00:00
Glenda Jackson	1936-05-09T00:00:00
Glynn Edwards	1931-02-02T00:00:00
Godfrey Kenton	person not found on wiki
Godfrey Tearle	1884-10-12T00:00:00
Goldie Semple	1952-12-11T00:00:00
Grace Edwin	person not found on wiki
Graham Abbey	1971-03-24T00:00:00
Graham Greene	1904-10-02T00:00:00
Graham Stevens	1977-01-01T00:00:00
Graham Winton	person not found on wiki
Greg Hicks	1953-05-27T00:00:00
Gregory Floy	person not found on wiki
Gugu Mbatha-Raw	1983-04-21T00:00:00
Gunnar Cauthery	1981-07-17T00:00:00
Guy Adkins	1968-10-03T00:00:00
Guy Burgess	1911-04-16T00:00:00
Gwen Ffrangcon-Davies	1891-01-25T00:00:00
Gwynne Whitby	1903-07-08T00:00:00
Gyles Isham	1903-10-31T00:00:00
Gyuri Sarossy	1974-01-01T00:00:00
Hal Holbrook	1925-02-17T00:00:00
Haley Robinson	person not found on wiki
Hank Stratton	person not found on wiki
Hannah Douglas	person not found on wiki
Hannah Gordon	1941-04-09T00:00:00
